pmid|medicit_art_abstract_abstracttext_order|sentence_order|sentence
31|1|1|Five distinct ester hydrolases (EC 3-1) have been characterized in guinea-pig epidermis.
31|1|2|These are carboxylic esterase, acid phosphatase, pyrophosphatase, and arylsulphatase A and B.
31|1|3|Their properties are consistent with those of lysosomal enzymes.
32|1|1|A serum agglutinin reactive with red cells in the presence of polycarboxyl groups is reported.
32|1|2|It is likely that this represents an additional example of the type of agglutinin previously described as agglutinating red cells in the absence of ionized calcium.
32|1|3|Experimental evidence is presented indicating that it is free polycarboxyl groups that potentiate agglutination and that any metal ion, such as calcium, capable of chelating with these groups will prove to be inhibitory.
33|1|1|Stroma from either normal or PNH-like red cells is capable of inhibiting, to some extent, lysis in the sucrose test and enhancing lysis in the acidified-serum test.
33|1|2|The same opposing effects are displayed by the exclusion peaks from Sephadex G-200 obtained from each stroma preparation, suggesting that the same factor could be responsible for both activities.
33|1|3|Stromata and peaks also induce lysis of PNH-like cells in unacidified serum, indicating activation of complement through the alternate pathway.
33|1|4|This is confirmed by immunoelectrophoretic observation.
33|1|5|When serum previously activated through the alternate pathway is used in the sucrose test the amount of lysis is markedly reduced.
33|1|6|This would indicate that the classical pathway activation can be controlled by the alternate pathway.
33|1|7|The possible clinical significance of these factors in determining the haemolytic crisis in PNH patients is discussed.
35|1|1|The effect of the major metabolite of aspirin, namely salicylic acid, upon the pentose phosphate pathway (PPP) of normal and G6PD-deficient red cells has been studied.
35|1|2|Salicylic acid was shown to inhibit this pathway in proportion to the amount present.
35|1|3|At any concentration of this substance there was greater inhibition of the PPP in G6PD-deficient than in normal red cells.
36|1|1|1.
36|1|2|In one experiment the effect on rumen pH of feeding with restricted amounts of whole or pelleted barley was studied.
36|1|3|With whole barley there was little variation in rumen pH associated with feeding time, but with pelleted barley the pH decreased from about 7-0 before feeding to about 5-3, 2--3 h after feeding.
36|1|4|2.
36|1|5|The rate of disappearance of dried grass during incubation in the rumens of sheep receiving either whole or pelleted barley was studied in a second experiment.
36|1|6|After 24 h incubation only 423 mg/g incubated had disappeared in the rumen of sheep receiving pelleted barley while 625 mg/g incubated had disappeared when it was incubated in the rumen of sheep receiving whole barley.
36|1|7|3.
36|1|8|The voluntary intake of dried grass of lambs was studied in a third experiment when they received supplements of either 25 or 50 g whole or pelleted barley/kg live weight 0-75.
